Ts (degC),I (a.u.),P (W),q (slm)
4.739000000000000057e+01,2.192005441043184604e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.743999999999999773e+01,2.232940671569504775e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.750000000000000000e+01,2.194449083515057340e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.778000000000000114e+01,2.284582990686050616e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.785999999999999943e+01,2.236353911757472903e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.809000000000000341e+01,2.223493530310141854e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.815999999999999659e+01,2.243232499849638902e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.814999999999999858e+01,2.201842835836488754e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.832000000000000028e+01,2.211139443693625275e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.852000000000000313e+01,2.191493356466182042e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.860000000000000142e+01,2.220902187716158573e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.871000000000000085e+01,2.173798413721762598e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.874000000000000199e+01,2.181836798853432760e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.881000000000000227e+01,2.237133063778202981e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.900999999999999801e+01,2.208991817396600265e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.896999999999999886e+01,2.213352358618395869e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.900000000000000000e+01,2.217523932377768215e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.896999999999999886e+01,2.179420134135364555e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.893999999999999773e+01,2.183178418562019244e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.902000000000000313e+01,2.210483970507466700e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.917999999999999972e+01,2.229770231165444013e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.917999999999999972e+01,2.215566135845840443e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.922999999999999687e+01,2.213093298270634376e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.917999999999999972e+01,2.205182164370319340e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.914000000000000057e+01,2.240856116983122658e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.917000000000000171e+01,2.253466553853420075e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.918999999999999773e+01,2.234187068430457264e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.939000000000000057e+01,2.240358445178596303e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.945000000000000284e+01,2.242127520620289724e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.945000000000000284e+01,2.209489612387169152e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.878999999999999915e+01,2.227748624238715973e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.897999999999999687e+01,2.210183026889148168e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.920000000000000284e+01,2.274353125009440351e+06,3.500000000000000000e+00,3.500000000000000000e+00
4.917000000000000171e+01,2.205114658392871264e+06,3.500000000000000000e+00,3.500000000000000000e+00
